"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","If this game was NOT an observer, which nation did you play? Please use the tag of the nation in capital letters.","If you did switch to any other nation, who was it? Please use the tag of the nation in capital letters. Note this is only if you legally switched, console commands don't count here.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War? If one side is close to winning put them down.","When did the Spanish Civil War end?","Who won the Indochinese civil war? If one side is close to winning put them down.","When did the Indochinese civil war end?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","If the 2nd Weltkrieg did not start in 1939...","Who won the French-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was NOT socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war? If one side is close to winning put them down.","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war? If one side is close to winning put them down.","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Did Japan go to war with Russia?","Did Japan go to war with Qing?","Did Japan attack Fengtian?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/04/04 11:12:54 PM GMT+4","","Dev","Pelmen","Yes","","","1945","2022-04-04","No","","Single-player","Kingdom of Spain","1942","Indochina","1936","","","USA","","","1940","Yes, sided with USA","1939","","","","","","","1941","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","Sardinia","Chile","1938","","Bulgaria","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania","Dominion of India","No","No","No","No","Fengtian alone","Pushed back (with or without the Fading Sun)","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/04/10 12:25:47 AM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-09","No","","Single-player","Carlists","1941","Indochina","1937","","","","NEE","","1939","Yes, sided with PSA","1939","","","","","","","1941","","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","Yes","No","No","No","Nobody","","Republic of East Turkestan","1939","Ma Clique","1944","Left Kuomintang","1937",""
"2022/04/10 12:25:59 AM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-04-09","No","","Single-player","Carlists","1938","Indochina","","","","PSA","","","1943","Yes, sided with PSA","1939","","Reichspakt","Reichspakt","","","1941","1941","","No","1940","","","","","1940","","1940","No","Yes, successfully","Yes, successfully","Two Sicilies","Chile","1939","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","Yes, someone else started the war","No","No","Nobody","","","","Ma Clique","1939","Shandong Clique","1937",""
"2022/04/10 12:25:11 PM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-04-10","No","","Single-player","Kingdom of Spain","1938","Indochina","1936","","","","","TEX","1941","Yes, declared war on CSA","1939","","Reichspakt","","","","1940","1941","","No","1940","","","","","1939","","1942","No","Yes, successfully","Yes, successfully","Two Sicilies","Chile","1940","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Hejaz;Kurdistan;Cyprus;Armenia","Split between starting nations","No","No","Yes, Japan started the war","No","Nobody","Pushed back (with or without the Fading Sun)","","","Mongolia and Tibet","1941","Nanjing Clique","1936",""
"2022/04/10 12:25:24 PM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-04-10","No","","Single-player","Kingdom of Spain","1942","Indochina","1937","","","","","TEX","1941","Yes, declared war on CSA","1939","","","","","","","1941","","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Argentina","1940","","The Pact","The Ottoman Empire","","","","No","Iraq;Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","No","No","No","Nobody","","Republic of East Turkestan","1942","Mongolia and Tibet","1938","Left Kuomintang","1937",""
"2022/04/10 12:25:36 PM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","1938","","","","","CSA","","","1943","Yes, sided with PSA","1939","","Internationale","","Russia","1941","","","","Yes, during or after WK2","1940","1941","CSA","1941","Internationale (not France)","1941","1941","1940","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Peaceful Reunification","","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Yes, Russia started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/04/10 12:25:48 PM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-04-10","No","","Single-player","Carlists","1939","Indochina","1937","","","","","","","Yes, sided with PSA","1939","","Reichspakt","","Reichspakt","","1943","","","No","1940","","","","","1941","","","","Yes, successfully","Yes, was repelled","Split between starting nations","Argentina","1941","","Bulgaria","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Armenia;Tripolitania","Bharatiya Commune","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","","","Ma Clique","1941","Nanjing Clique","1936",""
"2022/04/10 12:26:01 PM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-04-10","No","","Single-player","CNT-FAI","1938","Indochina","1936","","","","","TEX","1941","Yes, declared war on CSA","1939","","Reichspakt","","Reichspakt","","1941","","1944","Yes, during or after WK2","1940","1943","USA/TEX/PSA","","","1942","","Did not join","","Yes, successfully","Yes, was repelled","Split between starting nations","","","","The Pact","The Ottoman Empire","","","","No","Iraq;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","Yes, someone else started the war","Yes, Japan started the war","No","Nobody","","Republic of East Turkestan","1938","Ma Clique","1940","Anqing Clique","1936",""
"2022/04/10 12:26:14 PM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","1939","GEA (with or without Vietnam)","1938","","","USA","","","1941","Yes, sided with PSA","1939","","","","","","","","","No","1940","","","","","1940","","1940","No","Yes, was repelled","Yes, was repelled","Split between starting nations","Peaceful Reunification","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Cyprus;Armenia;Tripolitania","Princely Federation/Hyderabad","No","No","Yes, Japan started the war","No","Nobody","","","","Ma Clique","1942","Nanjing Clique","1936",""
"2022/04/10 12:26:27 PM GMT+4","","Dev","Pelmen","Yes","","","1944","2022-04-10","No","","Single-player","Carlists","1940","GEA (with or without Vietnam)","1937","","","","NEE","","1943","Yes, sided with PSA","1939","","Reichspakt","","Reichspakt","","1941","1942","","No","1943","","","1944","Germany/the Reichspakt","1939","","1939","No","Yes, successfully","Yes, successfully","Split between starting nations","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Yes, someone else started the war","No","No","Nobody","","","","Mongolia and Tibet","1941","Anqing Clique","1937",""
