"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/07/23 12:27:47 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1936","Nobody","","","","","Nobody","Did not end","No","Early 1940","Reichspakt","Reichspakt","","1942","","","No","1940","","","","","1941","","1941","No","No","Yes, was repelled","Split between starting nations","Argentina","1941","Did not happen","The Pact","Nobody","The Ottoman Empire","","","No","Iraq;Kurdistan;Armenia;Cyrenaica","Split between starting nations","No","Donau-Adriabund","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Nobody","Did not end","Anqing Clique","Quarter 3, 1936",""
"2022/07/23 12:28:03 AM GMT+4","","Dev","Pelmen","Yes","1942","2022-07-23","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1939","Nobody","","","Nobody","","Nobody","Did not end","No","Early 1939","Nobody","Nobody","","","","","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1939","Did not happen","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Reichspakt","1939","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","Could not push into China","Republic of East Turkestan","1939","Mongolia and Tibet","1939","Anqing Clique","Quarter 1, 1937",""
"2022/07/23 12:28:18 AM GMT+4","","Dev","Pelmen","Yes","1941","2022-07-23","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","Nobody","","","","","Nobody","Did not end","No","Late 1940","Nobody","Nobody","","","","","No","1940","","","","","1941","","","","No","No","ANI Italy","Chile","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Iraq;Assyria;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Third Internationale","1940","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936",""
"2022/07/23 11:41:57 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1936","Nobody","","","Nobody","","","Did not end","No","Mid 1939","Internationale","Russia","1943","","","","No","1940","","","","","1939","","","","Yes, was repelled","No","Split between starting nations","Argentina","1939","Did not happen","Bulgaria","The Cairo Pact","","","","Yes, but OTT still lost the war","Assyria;Armenia;Cyrenaica","Split between starting nations","No","Third Internationale","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Ma Clique","1941","Shandong Clique","Quarter 2, 1937",""
"2022/07/23 11:42:15 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","TEX","","","","","TEX","1941","Yes, declared war on CSA","Early 1940","Reichspakt","Reichspakt","","1943","","","No","1940","","","","","1940","","1940","No","Yes, successfully","Yes, was repelled","Split between starting nations","Chile","1938","Did not happen","The Pact","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1938","1941","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","No","Nobody","Could not push into China","Republic of East Turkestan","1940","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937",""
"2022/07/23 11:42:33 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1938","USA","","","USA","","","1941","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1939","Did not happen","The Pact","The Ottoman Empire","","","","No","Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/07/23 11:42:51 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","Kingdom of Spain","1940","GEA (with or without Vietnam)","1938","Nobody","","","Nobody","","","Did not end","Yes, sided with PSA","Early 1939","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","Yes, was repelled","No","Split between starting nations","Argentina","1938","Did not happen","The Pact","The Cairo Pact","","","","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1938","1941","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Started by Transamur","Nobody","Conquered only the coastal states","Republic of East Turkestan","1937","Mongolia and Tibet","1941","Anqing Clique","Quarter 1, 1937",""
"2022/07/23 11:43:08 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","Kingdom of Spain","1938","Indochina","1938","PSA","","","PSA","","","1943","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","1940","No","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","Did not happen","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","1940","Did not happen","Did not happen","1939","1940","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937",""
"2022/07/23 11:43:23 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1936","Nobody","","","Nobody","","","Did not end","No","Early 1939","Internationale","Russia","1943","","","","No","1939","","","","","1939","","","","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1941","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Third Internationale","Did not happen","Did not happen","Did not happen","1943","1943","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Nobody","Did not end","Left Kuomintang","Quarter 2, 1937",""
"2022/07/23 11:43:39 AM GMT+4","","Dev","Pelmen","Yes","1944","2022-07-23","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1936","Nobody","","","Nobody","","","Did not end","No","Late 1940","Nobody","Nobody","","","1942","","No","1940","","","","","Did not join","","Did not join","","Yes, was repelled","Yes, successfully","Italian Republic/Federation","Argentina","1939","Did not happen","The Pact","The Cairo Pact","","","","No","Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","No","Moscow Accord","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Nobody","Did not end","Nanjing Clique","Quarter 1, 1937",""
"2022/07/23 11:43:55 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","CNT-FAI","1938","GEA (with or without Vietnam)","1938","NEE","","","","","NEE","1942","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","1943","","No","1940","","","","","1941","","","","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1938","Did not happen","Bulgaria","Nobody","","","","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","Third Internationale","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936",""
"2022/07/23 11:44:11 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","Kingdom of Spain","1937","GEA (with or without Vietnam)","1937","Nobody","","","Nobody","","","Did not end","No","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","Did not join","","Did not join","","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1939","Did not happen","The Pact","The Ottoman Empire","","","","No","Cyprus;Armenia;Cyrenaica","Split between starting nations","Yes","Entente","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1941","Nanjing Clique","Quarter 4, 1936",""
"2022/07/23 11:44:26 AM GMT+4","","Dev","Pelmen","Yes","1941","2022-07-23","No","","Single-player","CNT-FAI","1939","Nobody","Did not end","Nobody","","","Nobody","","","Did not end","Yes, sided with USA","Mid 1940","Nobody","Nobody","","","","","No","1940","","","","","1940","","","","No","No","Split between starting nations","Argentina","1938","Did not happen","Bulgaria","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Hejaz;Assyria;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","Moscow Accord","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1940","Nobody","Did not end","Nanjing Clique","Quarter 4, 1936",""
"2022/07/23 11:44:41 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1937","Nobody","","","","","Nobody","Did not end","Yes, declared war on CSA","Early 1940","Nobody","Nobody","","","1942","","No","1940","","","","","1940","","","","Yes, was repelled","Yes, successfully","Split between starting nations","Argentina","1940","Did not happen","Bulgaria","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Nobody","Did not end","Mongolia and Tibet","1938","Nanjing Clique","Quarter 4, 1936",""
"2022/07/23 11:44:56 AM GMT+4","","Dev","Pelmen","Yes","1943","2022-07-23","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1936","Nobody","","","Nobody","","","Did not end","No","Early 1940","Nobody","Nobody","","","1942","","No","1940","","","","","1941","","","","Yes, was repelled","Yes, successfully","Split between starting nations","Chile","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Hejaz;Cyprus;Armenia","Split between starting nations","No","Third Internationale","Did not happen","Did not happen","Did not happen","","1943","1940","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1943","Left Kuomintang","Quarter 4, 1936",""
"2022/07/23 11:45:12 AM GMT+4","","Dev","Pelmen","Yes","1942","2022-07-23","No","","Single-player","CNT-FAI","1937","Indochina","1938","Nobody","","","","","Nobody","Did not end","No","Early 1940","Reichspakt","Reichspakt","","1941","1942","","No","1940","","","","","1940","","","","Yes, successfully","Yes, successfully","Split between starting nations","Chile","1938","Did not happen","Bulgaria","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1938","Did not happen","Did not happen","1939","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Nobody","Did not end","Nobody","Did not end","Nanjing Clique","",""
