"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","If this game was NOT an observer, which nation did you play? Please use the tag of the nation in capital letters.","If you did switch to any other nation, who was it? Please use the tag of the nation in capital letters. Note this is only if you legally switched, console commands don't count here.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War? If one side is close to winning put them down.","When did the Spanish Civil War end?","Who won the Indochinese civil war? If one side is close to winning put them down.","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the French-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was NOT socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war? If one side is close to winning put them down.","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war? If one side is close to winning put them down.","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/07/03 1:09:11 PM GMT+4","","Dev","Pelmen","Yes","","","1942","2022-07-03","No","","Single-player","Carlists","1939","Indochina","1938","","","","","","","","Yes, sided with PSA","Late 1940","Internationale","","Russia","1941","","","","No","1940","","","1942","Internationale (not France)","1941","","1941","No","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","Yes","Moscow Accord","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Ma Clique","1941","Anqing Clique","1936",""
"2022/07/03 1:09:26 PM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-07-03","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1938","","","","","","","","No","Mid 1940","Reichspakt","","Reichspakt","","1942","1941","1942","No","1940","","","","","Did not join","","","","Yes, successfully","Yes, successfully","Sardinia","Argentina","1938","","Bulgaria","The Ottoman Empire","","","","No","Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Reichspakt","1940","1942","Did not happen","1940","Did not happen","Did not happen","1942","Did not happen","Yes, Japan started the war","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1940","Shandong Clique","1936",""
"2022/07/03 1:09:41 PM GMT+4","","Dev","Pelmen","Yes","","","1942","2022-07-03","No","","Single-player","CNT-FAI","1940","Indochina","1940","PSA","","","PSA","","","1941","Yes, sided with PSA","Early 1939","Internationale","","Russia","1940","","","","No","1940","","","1940","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Peaceful Reunification","","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","No","Moscow Accord","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Yes, Russia started the war","Nobody","","","","Ma Clique","1940","Shandong Clique","1937",""
"2022/07/03 1:09:56 PM GMT+4","","Dev","Pelmen","Yes","","","1942","2022-07-03","No","","Single-player","CNT-FAI","1939","GEA (with or without Vietnam)","1937","","","","","","","","Yes, sided with USA","Mid 1940","Internationale","","Russia","1942","","","","No","1940","","","","","1940","1942","1940","Yes, during or after WK2","Yes, was repelled","No","Split between starting nations","Argentina","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Entente","Before 1938","1941","Did not happen","Did not happen","Did not happen","1938","Did not happen","1942","No","Nobody","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Shandong Clique","1937",""
"2022/07/03 1:10:09 PM GMT+4","","Dev","Pelmen","Yes","","","1942","2022-07-03","No","","Single-player","CNT-FAI","1937","","","","","","","","","","No","Early 1939","Internationale","","Russia","1941","","","","No","1939","","","","","1939","1942","","","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1940","","","The Cairo Pact","","","","No","Iraq;Kurdistan;Armenia;Tripolitania","Split between starting nations","No","Belgrade Pact","1939","1941","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","Could not push into China","","","Mongolia and Tibet","1938","Shandong Clique","1937",""
"2022/07/03 1:10:25 PM GMT+4","","Dev","Pelmen","Yes","","","1942","2022-07-03","No","","Single-player","Kingdom of Spain","1940","GEA (with or without Vietnam)","1937","USA","","USA","","","","1941","No","Before 1939","Internationale","","Russia","1940","","","","No","1940","","","1942","Commune of France","1939","1940","1939","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","","The Pact","","","","The Cairo Pact","No","Iraq;Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Entente","1938","Did not happen","Did not happen","Did not happen","Did not happen","Before 1938","Did not happen","Did not happen","Yes, Japan started the war","Nobody","","Republic of East Turkestan","1940","Mongolia and Tibet","1940","Nanjing Clique","1936",""
"2022/07/03 1:10:39 PM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-07-03","No","","Single-player","CNT-FAI","1940","GEA (with or without Vietnam)","1937","","","","","","","","Yes, declared war on CSA","Early 1939","Internationale","","Russia","1941","","","","No","1940","","","","","1939","","","","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","","Bulgaria","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Entente","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1941","Mongolia and Tibet","1940","Nanjing Clique","1937",""
"2022/07/03 1:10:54 PM GMT+4","","Dev","Pelmen","Yes","","","1942","2022-07-03","No","","Single-player","CNT-FAI","1937","Indochina","1941","","","","","","","","No","Early 1939","Internationale","","Russia","1941","","","","No","1940","","","","","1939","1941","1940","Yes, during or after WK2","No","No","Socialist Republic of Italy","Argentina","1940","","The Pact","","","","","No","Hejaz;Kurdistan;Assyria;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Moscow Accord","1941","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","No","Nobody","","Kumul Khanate","1938","Mongolia and Tibet","","Nanjing Clique","1936",""
"2022/07/03 1:11:08 PM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-07-03","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1938","","","","","","","","Yes, sided with USA","Early 1940","","","","","","","","No","Did not join","","","1941","Someone else","1940","","Did not join","","No","No","Socialist Republic of Italy","Chile","1940","","The Pact","The Cairo Pact","","","","Yes, but OTT still lost the war","Iraq;Hejaz;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Moscow Accord","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Ma Clique","1940","Left Kuomintang","1937",""
"2022/07/03 1:11:22 PM GMT+4","","Dev","Pelmen","Yes","","","1943","2022-07-03","No","","Single-player","CNT-FAI","1937","GEA (with or without Vietnam)","1939","","","","","","","","No","Early 1939","Internationale","","Russia","1939","","","","No","1941","","","","","1939","1939","1939","Yes, during or after WK2","No","No","Socialist Republic of Italy","Argentina","1938","","The Pact","The Cairo Pact","","","","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Third Internationale","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","1939","Shandong Clique","1937",""
