"Метка часу","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","Who won the 3rd Boer War","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","What tags revolted from National France over the course of the game? Check all that apply","Did National France land on the mainland?","Did Canada land on Britain?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","What path did Austria choose during Ausgleich?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","What path did Russia take?","Who won the RCW?","When did the RCW end?","Who won the Battle for Shanxi?","What was SHX foreign policy towards QIE?","Did Shanxi make it to Contender stage?","As of 1.1.1939, what is the current ruling government of Poland?","If Poland revolted, which side rebelled?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When did German-Japanese war start?","Who won German-Japanese war?","If GEA lost in GEA-JAP war, when did it fall?","If JAP lost in GEA-JAP war, when did it fall?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","Did the GXC civil war happen?","Who won the GXC civil war?","When did the GXC civil war end?"
"2023/06/05 10:11:49 AM GMT+4","Dev","Pelmen","1946","Carlists","1939, quarter 2","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","CSA","","1940, quarter 3","Sided with NEE","","Late 1940","1945, quarter 2","Reichspakt","Nobody","","1945, quarter 2","","","Yes, during or after WK2","1940, quarter 4","1945, quarter 2","CSA","","","NGR;CHA","Yes, successfully","No","1940, quarter 4","","1940, quarter 4","No","Italian Republic/Federation","Chile","1938, quarter 4","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 4","Yes, but OTT still lost the war","Armenia;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Shanxi Marches On","No","Social Liberal/Social Democrat","Socialists","Yes","Moscow Accord","1938, quarter 4","1944","Did not happen","1940, quarter 4","JAP","1945, quarter 3","","Did not happen","Did not happen","1943","Did not happen","Did not happen","No","Nobody","Conquered all of China","Kumul Khanate","1940","Mongolia and Tibet","1938","Anqing Clique","Quarter 2, 1937","Yes","Li Zongren","1937, quarter 1"
"2023/06/05 10:12:08 AM GMT+4","Dev","Pelmen","1946","Kingdom of Spain","1938, quarter 2","GEA (with or without Vietnam)","1937, quarter 1","USA","","USA","","","","1939, quarter 2","No","White peace","Mid 1939","1941, quarter 1","Reichspakt","Reichspakt","","1941, quarter 1","1943, quarter 4","","No","Did not join","","","","","NGR;CHA","No","Yes, successfully","Did not join","","1945, quarter 1","No","Socialist Republic of Italy, on its own","Chile","1938, quarter 2","Did not happen","Pluralism","The Pact","1938, quarter 3","The Cairo Pact","","","","1940, quarter 1","No","Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1937, quarter 3","Yan Xishan","Recognize the Central Government","No","Social Liberal/Social Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 4","1941","Did not happen","1939, quarter 4","Nobody","","","Before 1938","1940","1939","1939","Did not happen","No","Nobody","Conquered only the coastal states","Kumul Khanate","1937","Mongolia and Tibet","1938","Left Kuomintang","Quarter 4, 1936","Avoided - Chen Mingshu","",""
"2023/06/05 10:12:25 AM GMT+4","Dev","Pelmen","1946","CNT-FAI","1938, quarter 1","Did not happen","","Nobody","","","","Nobody","","Did not end","Sided with PSA","","Late 1939","1943, quarter 2","Reichspakt","Nobody","","1943, quarter 2","1945, quarter 1","","No","1940, quarter 1","","","1940, quarter 3","FRA","TUN;CHA","Yes, successfully","Yes, successfully","Did not join","","Did not join","","Socialist Republic of Italy, on its own","Argentina","1938, quarter 2","Did not happen","Pluralism","The Pact","1938, quarter 1","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Dominion of India","","","","Yan Xishan","Shanxi Marches On","No","Authoritarian Democrat","Poland did not rebel","Yes","Moscow Accord","1939, quarter 1","1942","Did not happen","1940, quarter 1","JAP","1943, quarter 4","","Did not happen","Did not happen","Did not happen","1939","1944","No","Nobody","Could not push into China","Kumul Khanate","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 3, 1936","Avoided - Chen Mingshu","",""
"2023/06/05 10:12:42 AM GMT+4","Dev","Pelmen","1945","Carlists","1938, quarter 3","Indochina","1940, quarter 3","CSA","","","","CSA","","1941, quarter 3","Sided with NEE","","Mid 1940","1945, quarter 3","Reichspakt","Reichspakt","","1945, quarter 3","","1944, quarter 2","Yes, during or after WK2","1940, quarter 3","1942, quarter 3","CSA","","","CHA","No","Yes, was repelled","1940, quarter 3","","1940, quarter 3","No","Two Sicilies","Argentina","1938, quarter 4","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","No","Cyprus;Armenia;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Socialists","No","Moscow Accord","1938, quarter 2","1940","Did not happen","1940, quarter 3","Nobody","","","Did not happen","Did not happen","Did not happen","Did not happen","1942","Started by Japan","Nobody","Could not push into China","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Anqing Clique","Quarter 1, 1937","Yes","Ma Ji","1937, quarter 2"
"2023/06/05 10:12:59 AM GMT+4","Dev","Pelmen","1945","CNT-FAI","1937, quarter 4","Indochina","1939, quarter 3","PSA","","","","","PSA","1941, quarter 3","Sided with PSA","White peace","Mid 1940","Did not end","Nobody","Nobody","","","","","No","1940, quarter 3","","","1942, quarter 4","FRA","CHA","Yes, was repelled","No","Did not join","","Did not join","","Socialist Republic of Italy, with INT aid","Chile","1938, quarter 4","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Armenia;Cyrenaica","Dominion of India","Republic","","","Yan Xishan","Shanxi Marches On","No","Social Liberal/Social Democrat","Poland did not rebel","Yes","Moscow Accord","1939, quarter 3","1940","Did not happen","1940, quarter 3","JAP","1944, quarter 2","","Did not happen","Did not happen","1941","1939","1942","No","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Nobody","Did not end","Ma Clique","1938","Left Kuomintang","Quarter 1, 1937","Yes","Li Zongren","1937, quarter 1"
"2023/06/05 10:13:16 AM GMT+4","Dev","Pelmen","1946","Carlists","1938, quarter 1","Did not happen","","USA","","USA","","","","1939, quarter 4","Attacked CSA","South Africa","Early 1940","1944, quarter 2","Reichspakt","Reichspakt","","1944, quarter 2","1944, quarter 3","1944, quarter 2","No","1940, quarter 2","","","","","MLI;NGR;CHA","Yes, successfully","No","Did not join","","Did not join","","Two Sicilies","Argentina","1939, quarter 4","Did not happen","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1940, quarter 3","No","Cyprus;Armenia;Tripolitania;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1936, quarter 4","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 4","1940","Did not happen","1940, quarter 2","Nobody","","","Did not happen","Did not happen","Did not happen","Did not happen","1944","Started by Japan","Nobody","Could not push into China","Republic of East Turkestan","1940","Mongolia and Tibet","1938","Nanjing Clique","Quarter 1, 1937","Avoided - Chen Mingshu","",""
"2023/06/05 10:13:33 AM GMT+4","Dev","Pelmen","1945","Carlists","1939, quarter 1","Did not happen","","CSA","","","","CSA","","1940, quarter 3","Sided with PSA","South Africa","Mid 1940","1941, quarter 4","Reichspakt","Reichspakt","","1941, quarter 4","Treaty of London","1942, quarter 2","Yes, during or after WK2","1940, quarter 3","1941, quarter 4","CSA","","","","Yes, successfully","No","Did not join","","","","Two Sicilies","Chile","1938, quarter 2","Did not happen","Pluralism","Nobody","Did not end","The Cairo Pact","","","","1939, quarter 1","Yes, but OTT still lost the war","Kurdistan;Cyprus;Armenia;Cyrenaica","Dominion of India","","","","The Manchu Coup","Shanxi Marches On","No","Social Liberal/Social Democrat","Poland did not rebel","Yes","Belgrade Pact","1937, quarter 4","Did not happen","Did not happen","1940, quarter 3","Nobody","","","Did not happen","Did not happen","1938","1938","Did not happen","Started by Japan","Nobody","","Nobody","Did not end","Ma Clique","1939","Nanjing Clique","Quarter 4, 1936","Yes","Chen Jiongming","1937, quarter 1"
"2023/06/05 10:13:51 AM GMT+4","Dev","Pelmen","1945","Carlists","1939, quarter 1","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","CSA","","1940, quarter 4","Sided with NEE","White peace","Early 1940","Did not end","Nobody","Nobody","","","","","Yes, before WK2","Did not join","1941, quarter 4","CSA","1940, quarter 4","FRA","CHA","Yes, was repelled","No","1941, quarter 2","","1941, quarter 2","No","Socialist Republic of Italy, on its own","Argentina","1939, quarter 4","Argentina","Pluralism","The Pact","1937, quarter 2","The Cairo Pact","","","","1939, quarter 2","Yes, but OTT still lost the war","Cyprus;Armenia;Cyrenaica","Split between starting nations","Republic","","","Feng Yuxiang (mission timeout)","Shanxi Marches On","No","Market Liberal","Socialists","Yes","Moscow Accord","1939, quarter 4","1942","Did not happen","1940, quarter 2","Nobody","","","1940","1941","1943","1940","1942","No","Fengtian alone","Conquered all of China","Kumul Khanate","1938","Mongolia and Tibet","1938","Nanjing Clique","Quarter 2, 1937","Yes","Li Zongren","1937, quarter 1"
"2023/06/05 10:14:08 AM GMT+4","Dev","Pelmen","1945","Kingdom of Spain","1937, quarter 4","Indochina","1939, quarter 4","CSA","","","","CSA","","1940, quarter 4","Sided with PSA","White peace","Late 1939","Did not end","Nobody","Nobody","","","","","Yes, before WK2","Did not join","1941, quarter 4","Someone else","","","","Yes, was repelled","No","1945, quarter 3","","1945, quarter 3","No","Socialist Republic of Italy, on its own","Chile","1938, quarter 2","Argentina","Pluralism","The Pact","1938, quarter 2","The Cairo Pact","","","","1942, quarter 3","Yes, but OTT still lost the war","Kurdistan;Armenia;Cyrenaica","Puppeted by a foreign power","Republic","","","Yan Xishan","Recognize the Central Government","Yes","Market Liberal","Poland did not rebel","Yes","Moscow Accord","1939, quarter 1","Did not happen","Did not happen","1940, quarter 1","JAP","1941, quarter 3","","Did not happen","Did not happen","Did not happen","1939","1940","No","Federalists","","Nobody","Did not end","Ma Clique","1938","Left Kuomintang","Quarter 4, 1936","Yes","Li Zongren","1937, quarter 1"
"2023/06/05 10:14:25 AM GMT+4","Dev","Pelmen","1946","Carlists","1938, quarter 2","Did not happen","","NEE","NEE","","","","","1942, quarter 2","Sided with NEE","South Africa","Mid 1940","1941, quarter 2","Reichspakt","Reichspakt","","1941, quarter 2","1942, quarter 1","1942, quarter 2","No","1940, quarter 2","","","","","CHA","No","No","Did not join","","Did not join","","Italian Republic/Federation","Chile","1938, quarter 2","Brazil","Pluralism","The Pact","1937, quarter 3","The Cairo Pact","","","","1940, quarter 1","Yes, but OTT still lost the war","Armenia;Tripolitania;Cyrenaica","Dominion of India","Socialist Revolt","Socialist Russia","1937, quarter 4","Yan Xishan","Recognize the Central Government","No","Authoritarian Democrat","Poland did not rebel","No","Belgrade Pact","1938, quarter 4","1941","1943","1940, quarter 3","GEA","","1943, quarter 1","Did not happen","Did not happen","1939","1939","1943","Started by Japan","Left-KMT","Pushed back (with or without the Fading Sun)","Xinjiang Clique","1937","Ma Clique","1938","Left Kuomintang","Quarter 1, 1937","Avoided - Chen Mingshu","",""
