"Отметка времени","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Who won the Spanish Civil War?","When did the Spanish Civil War end?","Who won the Indochinese War?","When did the Indochinese civil war end?","Who won the American Civil War?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","When did the 2nd Weltkrieg end?","Who won the Franco-German part of the 2nd Weltkrieg?","Who won the Russo-German part of the 2nd Weltkrieg?","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war?","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war?","Who won the Fourth Balkan War? If one side is close to winning put them down.","When did the Fourth Balkan War end?","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert?","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","When did the War in the Desert end?","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","Which faction did Greece join?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?"
"2022/09/12 7:25:26 PM GMT+4","Dev","Pelmen","1944","2022-09-12","CNT-FAI","1937, quarter 3","Indochina","1940, quarter 1","CSA","","CSA","","","","1943, quarter 1","No","Early 1939","1939, quarter 4","Internationale","Socialist Russia","1939, quarter 4","","","","Yes, during or after WK2","1941, quarter 1","1943, quarter 3","Someone else","1942, quarter 1","Commune of France","Did not join","","Did not join","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","The Pact","1938, quarter 4","","The Ottoman Empire","","","1941, quarter 1","No","Iraq;Armenia;Cyrenaica","Dominion of India","Yes","Donau-Adriabund","1938, quarter 2","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1939","Left Kuomintang","Quarter 4, 1936"
"2022/09/12 7:26:40 PM GMT+4","Dev","Pelmen","1944","2022-09-12","CNT-FAI","1937, quarter 3","Indochina","1940, quarter 1","CSA","","CSA","","","","1943, quarter 1","No","Early 1939","1939, quarter 4","Internationale","Socialist Russia","1939, quarter 4","","","","Yes, during or after WK2","1941, quarter 1","1943, quarter 3","Someone else","1942, quarter 1","Commune of France","Did not join","","Did not join","","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","The Pact","1938, quarter 4","","The Ottoman Empire","","","1941, quarter 1","No","Iraq;Armenia;Cyrenaica","Dominion of India","Yes","Donau-Adriabund","1938, quarter 2","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1939","Left Kuomintang","Quarter 4, 1936"
"2022/09/12 7:26:54 PM GMT+4","Dev","Pelmen","1943","2022-09-12","CNT-FAI","1937, quarter 3","Indochina","1940, quarter 2","CSA","","CSA","","","","1940, quarter 3","No","Mid 1940","Did not end","Nobody","Nobody","","","","","Yes, during or after WK2","1940, quarter 2","1941, quarter 2","CSA","","","1941, quarter 2","","","","Yes, was repelled","No","Split between starting nations","Chile","1938, quarter 1","Did not happen","Bulgaria","1937, quarter 3","","The Ottoman Empire","","","1942, quarter 4","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","Yes","Third Internationale","1938, quarter 3","1939","Did not happen","Did not happen","1939","1940","1940","1939","Started by Transamur","Fengtian alone","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Republic of East Turkestan","1939","Nobody","Did not end","Shandong Clique","Quarter 1, 1937"
"2022/09/12 7:27:09 PM GMT+4","Dev","Pelmen","1943","2022-09-12","CNT-FAI","1938, quarter 1","GEA (with or without Vietnam)","1937, quarter 2","CSA","","CSA","","","","1941, quarter 3","No","Early 1940","1942, quarter 2","Internationale","Socialist Russia","1942, quarter 2","","","","No","1940, quarter 2","","","","","1940, quarter 2","1943, quarter 1","1940, quarter 2","Yes, during or after WK2","No","Yes, was repelled","Split between starting nations","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 2","Nobody","","","","Did not end","No","Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","Reichspakt","1938, quarter 3","1940","Did not happen","Did not happen","Did not happen","Did not happen","1940","Did not happen","Started by Transamur","Nobody","Could not push into China","Xinjiang Clique","1937","Nobody","Did not end","Left Kuomintang","Quarter 1, 1937"
"2022/09/12 7:27:24 PM GMT+4","Dev","Pelmen","1943","2022-09-12","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1937, quarter 4","Nobody","","Nobody","","","","Did not end","Yes, sided with NEE","Early 1940","1942, quarter 3","Reichspakt","Reichspakt","","1942, quarter 3","","","No","1940, quarter 3","","","","","1940, quarter 4","","1940, quarter 4","No","No","No","Socialist Republic of Italy","Chile","1938, quarter 1","Did not happen","The Pact","1937, quarter 1","The Ottoman Empire","","","","1940, quarter 2","No","Iraq;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Yes","Belgrade Pact","1938, quarter 3","1941","Did not happen","1942","Did not happen","Did not happen","1943","Did not happen","Started by Transamur","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1939","Anqing Clique","Quarter 1, 1937"
"2022/09/12 7:27:39 PM GMT+4","Dev","Pelmen","1944","2022-09-12","CNT-FAI","1937, quarter 3","Indochina","1941, quarter 1","USA","","USA","","","","1941, quarter 3","Yes, declared war on CSA","Early 1940","1942, quarter 2","Internationale","Socialist Russia","1942, quarter 2","","","","No","1941, quarter 1","","","1943, quarter 1","Someone else","1940, quarter 2","1942, quarter 3","","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Chile","1938, quarter 2","Did not happen","Bulgaria","1937, quarter 4","","The Ottoman Empire","","","1941, quarter 3","No","Armenia;Cyrenaica","Bharatiya Commune","Yes","Belgrade Pact","1939, quarter 2","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Transamur","Nobody","","Republic of East Turkestan","1938","Nobody","Did not end","Nanjing Clique","Quarter 1, 1937"
"2022/09/12 7:27:53 PM GMT+4","Dev","Pelmen","1943","2022-09-12","Kingdom of Spain","1938, quarter 2","GEA (with or without Vietnam)","1938, quarter 1","CSA","","CSA","","","","1941, quarter 2","Yes, sided with NEE","Late 1940","1942, quarter 4","Internationale","Socialist Russia","1942, quarter 4","","","","Yes, during or after WK2","1940, quarter 4","1942, quarter 2","CSA","","","1941, quarter 4","1943, quarter 1","1941, quarter 4","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Chile","1938, quarter 2","Did not happen","The Pact","1937, quarter 3","","The Ottoman Empire","","","1940, quarter 2","No","Armenia;Cyrenaica","Bharatiya Commune","Yes","Reichspakt","1938, quarter 3","Did not happen","Did not happen","Did not happen","1942","Did not happen","1943","Did not happen","No","Nobody","","Nobody","Did not end","Mongolia and Tibet","1942","Anqing Clique","Quarter 2, 1937"
"2022/09/14 3:17:33 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 3","GEA (with or without Vietnam)","1936, quarter 4","CSA","","","","","CSA","1943, quarter 1","Yes, sided with NEE","Mid 1940","1941, quarter 4","Internationale","Russia","1941, quarter 4","","","","Yes, before WK2","Did not join","1941, quarter 4","CSA","","","1940, quarter 4","1941, quarter 4","1940, quarter 4","Yes, during or after WK2","No","No","Socialist Republic of Italy","Argentina","1938, quarter 2","Did not happen","The Pact","1937, quarter 2","","","The Cairo Pact","","1942, quarter 2","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","Yes","Moscow Accord","1938, quarter 2","1941","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1941","Anqing Clique","Quarter 4, 1936"
"2022/09/14 3:17:46 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","CNT-FAI","1937, quarter 4","Nobody","Did not end","TEX","","","","","TEX","1942, quarter 3","Yes, sided with NEE","Early 1939","Did not end","Nobody","Nobody","","","","","No","1940, quarter 1","","","","","1940, quarter 1","","1940, quarter 4","No","Yes, was repelled","No","Split between starting nations","Argentina","1940, quarter 2","Did not happen","The Pact","1940, quarter 3","","The Ottoman Empire","","","1940, quarter 1","No","Iraq;Assyria;Armenia;Cyrenaica","Split between starting nations","Yes","Moscow Accord","1938, quarter 4","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Started by Japan","Nobody","","Xinjiang Clique","1937","Nobody","Did not end","Anqing Clique","Quarter 4, 1936"
"2022/09/14 3:18:00 AM GMT+4","Dev","The Alpha Dog","1944","2022-09-13","CNT-FAI","1937, quarter 3","Nobody","Did not end","CSA","","","","","CSA","1939, quarter 4","No","Early 1940","1942, quarter 4","Internationale","Russia","1942, quarter 4","","","","Yes, during or after WK2","1940, quarter 3","1941, quarter 1","CSA","1943, quarter 1","Someone else","1940, quarter 2","","","","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938, quarter 3","Did not happen","Bulgaria","1938, quarter 1","The Ottoman Empire","","Nobody","","1942, quarter 3","No","Assyria;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","Third Internationale","1941, quarter 1","1942","Did not happen","1939","Did not happen","1940","Did not happen","Did not happen","Started by Russia","Nobody","Conquered only the coastal states","Nobody","Did not end","Mongolia and Tibet","1939","Nanjing Clique","Quarter 4, 1936"
"2022/09/14 3:18:15 AM GMT+4","Dev","The Alpha Dog","1943","2022-09-13","CNT-FAI","1939, quarter 2","GEA (with or without Vietnam)","1937, quarter 4","Nobody","","","","Nobody","","Did not end","Yes, sided with USA","Early 1939","1939, quarter 4","Internationale","Russia","1939, quarter 4","","","","No","1940, quarter 1","","","1941, quarter 2","Internationale (not France)","1939, quarter 1","","1939, quarter 2","No","No","No","Socialist Republic of Italy","Argentina","1940, quarter 1","Argentina","The Pact","1937, quarter 4","","Nobody","","","Did not end","No","Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","Yes","Reichspakt","1938, quarter 3","1940","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","No","Nobody","Conquered only the coastal states","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Left Kuomintang","Quarter 1, 1937"
